"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2039","步骤 66: 提交习题答案","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2041","步骤 22: 获取技能维度定义","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2041","步骤 59: 获取学习路径列表","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
"","2036","步骤 10: 更新测试环境","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2036","步骤 53: 向路径添加习题","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2031","步骤 49: 开始考试（获取题目）","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2019","步骤 12: 删除测试用例","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2027","步骤 20: 获取文件夹列表（树形）","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2043","步骤 8: 删除测试环境","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2028","步骤 23: 获取技能雷达图数据","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2052","步骤 61: 获取习题分类","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2052","步骤 6: 获取所有用户列表","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2042","步骤 36: 获取帖子详情","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2036","步骤 9: 创建测试环境","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","4061","步骤 2: 测试登录接口","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2044","步骤 47: 提交考试答案","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2018","步骤 37: 发布帖子","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2046","步骤 70: 获取公开习题列表","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
"","2040","步骤 16: 更新测试用例","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2060","步骤 50: 删除考试","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2051","步骤 33: 收藏帖子","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2042","步骤 39: 获取帖子列表","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
"","2036","步骤 34: 更新帖子","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2024","步骤 24: 获取学习统计数据","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2025","步骤 32: 点赞帖子","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2018","步骤 11: 获取环境列表","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2043","步骤 18: 获取测试用例列表","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2048","步骤 5: 创建数据库备份","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2025","步骤 65: 删除习题","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2024","步骤 30: 获取帖子评论","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2033","步骤 19: 更新文件夹","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2034","步骤 56: 更新学习路径","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2040","步骤 46: 智能生成试卷","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2056","步骤 31: 发表评论（顶级）","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2026","步骤 69: 获取习题详情","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2060","步骤 42: 获取面试题列表","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
"","2017","步骤 71: 获取习题列表（按阶段1过滤）","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
"","2037","步骤 52: 获取考试详情","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2027","步骤 26: 获取我的帖子","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","0","步骤 1: 1","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2037","步骤 54: 删除学习路径","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2026","步骤 48: 获取考试结果","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2025","步骤 55: 获取路径中的习题","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2025","步骤 29: 回复评论","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2028","步骤 58: 创建学习路径","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2044","步骤 44: 获取面试题详情","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
"","2056","步骤 4: 启用/禁用用户","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2043","步骤 38: 获取帖子列表（热门排序）","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
"","2031","步骤 57: 获取学习路径详情","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2023","步骤 35: 删除帖子","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2045","步骤 68: 更新习题","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2037","步骤 40: 收藏/取消收藏面试题","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2021","步骤 13: 发送接口请求（即时调试）","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2197","步骤 3: 测试登录接口","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
"","2027","步骤 67: 创建习题","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2045","步骤 51: 获取考试列表","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
"","2053","步骤 7: 获取备份列表","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2049","步骤 15: 创建测试用例","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2022","步骤 21: 创建文件夹","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2071","步骤 60: 获取学习路径列表（阶段1）","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
"","2022","步骤 14: 获取测试用例详情","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2036","步骤 45: 获取我的考试记录","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2037","步骤 63: 获取我的习题","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2040","步骤 28: 删除评论","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2050","步骤 64: 获取所有公开习题（需登录）","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2040","步骤 62: 执行 SQL（SQL 题验证）","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2041","步骤 27: 获取我收藏的帖子","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2037","步骤 17: 删除文件夹","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2056","步骤 41: 获取我收藏的面试题","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2028","步骤 25: 获取学习进度详情","自动化场景测试","2026-04-07","failed","2026-04-07","ID: 6","场景: 11","",""
"","2038","步骤 43: 获取面试题列表（按分类过滤）","自动化场景测试","2026-04-07","passed","2026-04-07","ID: 6","场景: 11","",""
